epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.384,1.39244,3.19644,2.83439,0.00398,0.86,0.30758,0.14882,1.50481,3.47536,3.2212,0.00052,0.00052,0.00052
2,443.295,1.24844,2.26732,2.42515,0.53184,0.38636,0.44506,0.27221,1.38957,3.03984,3.00679,0.00095506,0.00095506,0.00095506
3,669.821,1.20584,1.96546,2.31995,0.77487,0.56,0.63109,0.35502,1.45324,2.45199,2.90912,0.0012832,0.0012832,0.0012832
4,884.74,1.18624,1.76493,2.2119,0.50757,0.58,0.51492,0.25971,1.44306,2.3475,2.978,0.001406,0.001406,0.001406
5,1112.78,1.11989,1.62543,2.20859,0.76886,0.76,0.75192,0.44986,1.31532,1.6567,2.77202,0.001208,0.001208,0.001208
6,1345.51,1.05197,1.40513,2.16183,0.68248,0.81681,0.71907,0.37651,1.20946,1.71276,2.51555,0.00101,0.00101,0.00101
7,1559.4,1.02528,1.33389,2.11146,0.80216,0.76,0.85233,0.57978,0.994,1.42605,2.48085,0.000812,0.000812,0.000812
8,1788.11,0.94018,1.16521,2.03753,0.85345,0.86,0.87604,0.62018,0.9125,1.23101,2.34094,0.000614,0.000614,0.000614
